Category	Name	Value
ReadStats	PassReads	128.0
ReadStats	LenFail	0.0
ReadStats	QcFail	0.0
Classification	Primers_found	1.0
Classification	Rescue	0.0
Classification	Unusable	127.0
Strand	+	1.0
Strand	-	0.0
RescueStrand	+	0.0
RescueStrand	-	0.0
UnclassHitNr	0	121.0
UnclassHitNr	2	6.0
Unusable	2	1.0
Hits	-SSP,SSP	3.0
Hits	SSP,SSP	2.0
Hits	SSP,-VNP	1.0
Hits	-SSP,-SSP	1.0
ReadStats	Umi_detected	0.0
ReadStats	Umi_detected_final	0.0
AutotuneSample	1e-05	0.0
AutotuneSample	0.1724234482758621	0.0
AutotuneSample	0.34483689655172417	0.0
AutotuneSample	0.5172503448275861	0.0
AutotuneSample	0.6896637931034483	0.0
AutotuneSample	0.8620772413793104	0.0
AutotuneSample	1.0344906896551724	0.0
AutotuneSample	1.2069041379310346	0.0
AutotuneSample	1.3793175862068967	0.0
AutotuneSample	1.5517310344827588	0.0
AutotuneSample	1.724144482758621	0.0
AutotuneSample	1.896557931034483	0.0
AutotuneSample	2.068971379310345	0.0
AutotuneSample	2.241384827586207	1.0
AutotuneSample	2.413798275862069	1.0
AutotuneSample	2.5862117241379314	1.0
AutotuneSample	2.7586251724137933	1.0
AutotuneSample	2.9310386206896553	1.0
AutotuneSample	3.1034520689655176	1.0
AutotuneSample	3.2758655172413795	1.0
AutotuneSample	3.448278965517242	1.0
AutotuneSample	3.620692413793104	1.0
AutotuneSample	3.7931058620689657	1.0
AutotuneSample	3.965519310344828	1.0
AutotuneSample	4.137932758620689	1.0
AutotuneSample	4.3103462068965515	1.0
AutotuneSample	4.482759655172414	1.0
AutotuneSample	4.655173103448276	1.0
AutotuneSample	4.827586551724138	1.0
AutotuneSample	5.0	1.0
Parameter	Cutoff(q)	2.241384827586207
